"companyName","description","id","location","postedTime","publishedAt","salary","sector","title"
"Doopic","Doopic ist ein innovatives Unternehmen aus Berlin, das sich auf das Thema Produktbildbearbeitung und Postproduktion spezialisiert hat. Mit starkem Fokus auf revolutionären Workflows, Automationen und KI nehmen wir eCommerce-Betreibern, Fotostudios, uvm. die Fleißarbeit hinsichtlich der Bildbearbeitung ab und unterstützen sie mit weiteren grafischen Dienstleistungen und einem hervorragenden Kundenservice.


Zum nächsten Zeitpunkt freuen wir uns auf Dich als AI Specialist (w/m/x) in unserem Office am Kurfürstendamm in Berlin.


Aufgaben

   
   
 * Du übernimmst eine führende Rolle in unserem Innovations Team bei der kreativen Intensivierung und Weiterentwicklung unserer AI gestützen Teilprozesse in den Bereichen Bilderkennung, Bildretusche und Operations.
   
   
 * Bei der Konzeption und Implementierung von maschinellem Lernen, Deep Learning und Convolutional Neural Networks liegt Dein Fokus auf Stabilität, Performance und kundenorientierter Innovation.
   
   
 * Unser schier endloses Backup aus bearbeiteten Bildern, unbearbeiteten Entsprechungen und ergänzenden Daten sind Spielwiese und Werkzeug
   
   


Qualifikation

   
   
 * Maschinelles Lernen und Deep Learning, insbesondere Convolutional Neural Networks (CNNs) sind genau Dein Ding und Du konntest Du hier auch schon einiges an Erfahrung sammeln.
   
   
 * Computer Vision und Bildanalyse-Techniken sowie Grundlagen der Bildverarbeitung wie z.B. Filterung, Segmentierung und Merkmalsextraktion sind zwar kein flächendeckendes Muss – würden uns aber ganz schön glücklich machen.
   
   
 * Du sprichst fließend Deutsch oder Englisch, hast Erfahrung mit Frameworks und Bibliotheken wie z.B. OpenCV, TensorFlow, PyTorch oder Keras
   
   


Benefits

   
   
 * Bei uns bringt jeder Tag neue, spannende Herausforderungen, die wir gemeinsam angehen.
   
   
 * Hier schaut Dir bei der Arbeit niemand prüfend über die Schulter. Was zählt, sind die Ergebnisse und die sind bei uns (fast) immer grandios – schon alleine, weil wir mit so viel Spaß bei der Sache sind.
   
   
 * Team Events, kostenlose Snacks, Obst, Kaffee etc. sind selbstverständlich Standard.
   
   
 * Wir arbeiten mit den besten Tools, Materialien und Kollegen an einem attraktiven Standort im Herzen Berlins mit sehr guter Verkehrsanbindung - Das Jobticket wird bezuschusst
   
   
 * Wir arbeiten mit den besten Tools, Materialien und Kollegen, bieten flexible Arbeitszeiten, die Möglichkeit auf Homeoffice und natürlich ein kompetitives Gehalt.
   
   
 * Nicht zuletzt liegt uns daran Dich jeden Tag etwas besser zu machen und deswegen spendieren gerne Seminare und Fortbildungen
   
   


Sollte die Anzeige Dein Interesse geweckt haben, dann schicke uns gerne Deine Bewerbung mit Deinem Lebenslauf, dem frühestmöglichen Starttermin und Deiner Gehaltsvorstellung per Email. Wir suchen nach Personen mit Wohnsitz in Berlin.","4254310882","Berlin, Berlin, Germany","1 week ago","2025-06-25","","Graphic Design","AI Specialist (m/w/x)"
"Mindrift","At Mindrift, innovation meets opportunity. We believe in using the power of collective intelligence to ethically shape the future of AI.

What We Do

The Mindrift platform connects specialists with AI projects from major tech innovators. Our mission is to unlock the potential of Generative AI by tapping into real-world expertise from across the globe.

About The Role

If you're a professional who works with AI Data Annotation and friendly user of LLMs, Mindrift offers a unique opportunity to apply your editing, annotating, fact-checking and creative skills to an AI training project.

This is a freelance role for a project, and your typical tasks may include:


 * Conduct high-quality web searches to verify facts, gather supporting data, and cross-check AI responses.
 * Perform fact-checking and intent verification to ensure AI responses align with the user's goals.
 * Carefully review and flag any inaccuracies, inconsistencies, or irrelevant answers.
 * Provide structured feedback on AI-generated content to help improve model performance.
 * Work effectively with large language models (LLMs), understanding their capabilities and limitations, and applying best practices when interacting with them
 * Prompt generation with a purpose to receive the best quality result of LLMs
   
   

How To Get Started

Simply apply to this post, qualify, and get the chance to contribute to projects aligned with your skills, on your own schedule. From creating training prompts to refining model responses, you'll help shape the future of AI while ensuring technology benefits everyone.

Requirements


 * You are currently enrolled in or completed a Bachelor's degree or higher
 * You have professional and/or educational experience in data annotation, demonstrate a deeper-than-user-level interest in AI, and possess intellectual breadth and curiosity
 * You are skilled in web searching, fact-checking, intent-checking, able to work with LLMs and have great attention to detail
 * Your level of English is upper-intermediate (B2) or above
 * You are ready to learn new methods, able to switch between tasks and topics quickly and sometimes work with challenging, complex guidelines
 * Our freelance role is fully remote so, you just need a laptop, internet connection, time available and enthusiasm to take on a challenge
   
   

Benefits

Why this freelance opportunity might be a great fit for you?


 * Take part in a part-time, remote, freelance project that fits around your primary professional or academic commitments
 * Work on advanced AI projects and gain valuable experience that enhances your portfolio
 * Influence how future AI models understand and communicate in your field of expertise","4251765353","Berlin, Berlin, Germany","2 weeks ago","2025-06-19","","IT Services and IT Consulting","Freelance AI Agent Assistant"
"Findr","AI Research Engineer – Computer Vision, Deep Learning – Munich / Hybrid – €90,000




Work on cutting-edge vision models powering the next generation of autonomous inspection systems for the manufacturing industry.




This deep-tech company is building AI-powered cameras and edge systems that detect defects, analyse product quality, and monitor industrial processes — all in real time, using custom computer vision models and edge inference engines.




What they’re doing:

 * Merging AI with traditional manufacturing to improve reliability and reduce waste
 * Combining 2D/3D CV, temporal modelling, and edge deployment (NVIDIA Jetson)
 * Partnered with several Tier 1 automotive and medical device manufacturers
 * Backed by a consortium of EU funding and private investors




What you’ll do:

 * Build real-time object detection and segmentation models
 * Optimise pipelines for on-device inference
 * Help bridge research and production with reproducible experiments
 * Contribute to sensor integration, dataset design, and annotation strategies




What’s needed:

 * MSc/PhD in CV, AI, Robotics or related field
 * Strong experience with PyTorch, TensorFlow or ONNX
 * Knowledge of classical CV techniques and real-time optimisation
 * Bonus: experience with edge hardware, stereo vision, or synthetic data generation




This is R&D work with real impact. If you're looking to go deep into vision challenges beyond just open datasets — this is it.","4261703612","Germany","3 days ago","2025-07-03","","Data Infrastructure and Analytics, Information Services, and Software Development","AI Research Engineer – Computer Vision, Deep Learning – Remote – €90,000"
"Naptha AI","Former Startup CEOs (Open-Ended) | naptha.ai

About This Role

We are actively seeking multiple former startup CEOs and non-technical co-founders to join Naptha AI in roles tailored to each individual's unique strengths and experiences. This is a rare opportunity to shape the future of AI infrastructure at a massively ambitious scale, backed by industry veterans and technical leaders through NVIDIA Inception, Google for Startups, and Microsoft for Startups.

We're building the foundational infrastructure for the next wave of AI companies, enabling frontier AI developers (many leaving labs like OpenAI, Anthropic, and DeepMind) to build products powered by enormous networks of highly capable next-generation AI agents. We're assembling a team of experienced leaders who have built and scaled companies before, and we'll shape specific roles around your unique expertise as you help us develop and execute on transformative market opportunities.

Potential Areas of Impact


 * Depending on your experience and interests, you might:
 * Develop and execute strategic partnerships with frontier AI companies
 * Build and lead go-to-market teams for specific verticals
 * Shape our market positioning and strategic narrative
 * Drive key business initiatives and new market opportunities
 * Create entirely new business models we haven't explored yet
 * Work directly with technical founders to translate vision into market strategy
   
   

Why Join Us


 * Help shape the business strategy for genuine frontier tech
 * Join a founding team that deeply understands both tech and business
 * Shape your own role while working alongside other experienced leaders
 * Get in early at a technically exceptional pre-seed company
 * Build something meaningful without having to worry about fundraising
 * Collaborate with other founders who understand the value you bring
   
   

About The Hiring Process


 * Initial conversation about your experience and vision
 * Strategic thinking deep dive
 * Collaborative role definition
 * Team discussions
 * Initiative scoping workshop
   
   

Compensation & Benefits


 * Highly competitive salary and significant equity stake
 * Role and compensation scaled to your experience
 * Remote-first work environment
 * Full medical, dental, and vision coverage
 * Flexible PTO policy
 * Learning and conference budget
   
   

We're looking for business leaders who have scaled startups before and are excited about the transformative potential of AI infrastructure. These roles offer the impact and ownership of early-stage work combined with the technical foundation to execute at scale.

If you've built and scaled companies before and are excited about shaping how the next generation of AI products will go to market, we want to talk - even if you're not sure exactly what role would be the perfect fit.

","4151315772","Berlin, Berlin, Germany","4 months ago","2025-02-13","","Software Development","Former Startup CEOs (Open-Ended)"
"Inca","🚀 Bring Agentic AI to an Age-Old Industry — with Inca


We’re hiring a Founder’s Associate – AI & Sales (m/f/d) who will become the right hand of our CEO and help build INCA from the ground up. You’ll play a key role in defining our strategy, creating scalable structures, and driving our commercial success.


This is not a classic operations or sales role — you’ll operate at the intersection of AI innovation, company building, and business development. From designing sales strategies to engaging with VCs and building the operational backbone of our fast-scaling company — you’ll do it all.


Who We Are


We are Inca – a venture-backed startup on a mission to automate insurance claims through Agentic AI.


   
   
 * 💥 We’ve just closed one of the largest and most competitive InsurTech Pre-Seed rounds in Europe – backed by top-tier VCs.
   
   
 * 🚀 We bring Agentic AI to insurance industry with a no-bullshit approach — delivering cutting-edge results, where others overpromise.
   
   
 * 🔥 The market is on fire: we’re flooded with inbound interest from insurers eager to transform their claims processes.
   
   
 * 🧠 Our team combines former BCG Project Leaders, industry- and AI-experts. Together, we’re redefining how insurances are operating in Europe.
   
   


Tasks

   
   
 * Act as the CEO’s right hand, helping drive all strategic and operational topics
   
   
 * Build the structures, processes, and culture of a rapidly scaling AI company
   
   
 * Develop and execute our sales and go-to-market strategy: from conceptualizing our approach, to first pitch, to closing deals
   
   
 * Help manage relationships with VCs and investors, help steer the next funding rounds
   
   
 * Work hand in hand with our AI product team to align commercial priorities with cutting-edge product development
   
   
 * Shape and evolve our storytelling and messaging for clients, partners, and investors
   
   
 * Own high-impact, high-autonomy strategic projects
   
   


Requirements

   
   
 * Drive. Drive. Drive. You take charge, think clearly, and execute with sharpness and commitment.
   
   
 * 1–2+ years experience at a Tier A company: VC-backed startup, top consulting firm, investment bank, VC fund, or similar
   
   
 * Structured, analytical mindset: you solve problems and build systems
   
   
 * Entrepreneurial energy: you love ambiguity, building from scratch, and making things happen
   
   
 * Strong communication skills: you pitch, negotiate, and win people over
   
   
 * Curiosity and passion for AI, automation, and transforming traditional industries
   
   
 * Nice to have: Early-stage startup or company building experience; Exposure to AI, SaaS, or B2B enterprise sales; Experience working with investors or C-level stakeholders
   
   


Benefits


Why INCA?


   
   
 * 🤖 Real AI, real impact: We don’t play AI theater. We build agentic systems that actually work — and transform an industry that’s been asleep for decades.
   
   
 * 💥 No bullshit culture: No politics, no empty promises — just clarity, ownership, and results.
   
   
 * 🧠 Once-in-a-lifetime learning opportunity: Grow with a team of top-tier BCG Project Leaders and AI experts. Full exposure to what it takes to create and scale a venture-backed company.
   
   
 * 💸 Highly competitive salary + meaningful equity: You’re not just an employee — you’re an owner.
   
   
 * 🌍 Berlin- oder Munich-based, hybrid-friendly, regular offsites
   
   
 * 🌴 30 vacation days + 2 weeks work-from-anywhere
   
   
 * ⚡ High-speed environment: We move fast, we execute — and we’re here to win","4254855361","Berlin, Berlin, Germany","1 week ago","2025-06-26","","IT Services and IT Consulting","Founder's Associate: AI and Sales"
"Enzo","Enzo is a B2B PropTech startup revolutionizing the real estate and insurance industry with its cutting-edge IoT and AI solution, one.drop. Our proprietary sensor technology monitors water systems in buildings in real-time, enabling early detection of leaks and preventing costly water damage. Backed by significant funding and a rapidly growing customer base, Enzo is on a mission to protect properties while conserving one of our most vital resources—water.


Tasks


We are seeking a talented and enthusiastic AI Engineer Intern to join our dynamic team. You will play a pivotal role in shaping the future of sustainable water management by contributing to the development of advanced machine learning models. This is a unique opportunity to gain hands-on experience in AI and data analysis within a fast-paced startup environment.


Key Responsibilities:


   
   
 * Support in Neural Network Development: Design, develop, and optimize state-of-the-art neural network models to drive innovation in water management solutions.
   
   
 * Data Pipeline Engineering: Automate data acquisition, labeling, and pipeline processes to enhance efficiency and scalability.
   
   
 * Time Series Analysis: Work on time series prediction models, applying various methodologies to real-world data.
   
   
 * Cross-Functional Collaboration: Collaborate within an interdisciplinary team to integrate AI solutions with industry expertise and core operational strategies.
   
   
 * Programming & Development: Utilize Python and machine learning frameworks like TensorFlow or PyTorch in your projects.
   
   


Who You Are:


   
   
 * Innovative Thinker: You're passionate about AI and eager to apply your knowledge to solve real-world problems.
   
   
 * Detail-Oriented: You have a keen eye for detail and an organized approach to managing complex tasks.
   
   
 * Collaborative: You thrive in a team environment and are excited to work with professionals from various disciplines.
   
   
 * Self-Motivated: You possess a high level of initiative and are eager to learn and grow.
   
   
 * Effective Communicator: You can articulate complex technical concepts clearly in English.
   
   


Requirements


Qualifications:


   
   
 * Education: Currently pursuing a Bachelor's or Master's degree in Artificial Intelligence, or a related field.
   
   
 * Programming Skills: Proficiency in Python and SQL; familiarity with machine learning frameworks such as TensorFlow or PyTorch. Strong Analytics skills.
   
   
 * Time Series Experience: Demonstrated experience or coursework in time series prediction and analysis.
   
   
 * Additional Skills: Familiarity with TypeScript is a plus.
   
   
 * Language Skills: Exceptional command of English, both written and spoken.
   
   


Benefits

   
   
 * Exposure: Work closely with Enzo's AI team, gaining insights into machine learning applications in IoT.
   
   
 * Impact: Your work will directly contribute to the development of our AI solutions for sustainable water management.
   
   
 * Learning & Development: Gain hands-on experience in AI, machine learning, and data analysis.
   
   
 * Growth Potential: Opportunity to transition into a full-time role and advance within the company.
   
   


If you're ready to dive into the startup world and make a real impact with your AI expertise, we'd love to hear from you! Please send your resume and a brief cover letter explaining why you're interested in the AI Engineer Intern role at Enzo.","4253985048","Heidelberg, Baden-Württemberg, Germany","1 week ago","2025-06-25","","IT Services and IT Consulting","AI Engineer (Intern)"
"BMW Motorrad","New technologies Munich 24.06.2025

URL of this page was copied to paste buffer

Intern Artificial Intelligence, Machine Learning and Computer Vision (f/m/x)

THE BEST INTERNSHIP IN THEORY - AND IN PRACTICE.

SHARE YOUR PASSION.

World-leading technologies don’t make it into a BMW until they’ve undergone one of the most challenging journeys imaginable. It takes dynamic teams with outstanding technical skills to take them from the drawing board to the road. That’s why our experts will treat you as part of the team from day one, encourage you to bring your own ideas to the table – and give you the opportunity to really show what you can do.

Join our team at the BMW Research and Innovation Center in Munich and support us in developing cutting-edge AI and Visual Computing tools to revolutionize vehicle development.

What awaits you?


 * You gain insights into developing new technologies for virtual vehicle development at BMW.
 * Work with state-of-the-art generative models for 2D and 3D data using deep neural networks and advanced visualizations.
 * Here, you develop novel methods using AI to optimize and revolutionize product development.
 * Collaborate with a young and motivated team at the BMW Research and Innovation Center in Munich.
 * Engage in research-oriented work with opportunities for publication contributions.
   
   

What should you bring along?


 * Master studies in data science, computer science, engineering, physics, mathematics or a similar field.
 * Strong programming skills in Python and experience with Deep Learning frameworks like PyTorch.
 * Theoretical knowledge about machine learning, deep learning and optimization.
 * Experience with 3D data like point clouds or meshes is a plus.
 * High degree of personal initiative and strong drive to innovate.
 * Business fluent in English; German is a plus.
   
   

You are excited about new technologies and an innovative environment? Apply now!

What do we offer?


 * Comprehensive mentoring & onboarding.
 * Personal & professional development.
 * Flexible working hours.
 * Digital offers & mobile working.
 * Attractive & fair remuneration.
 * Apartment offers for students (subject to availability & only Munich).
 * And many other benefits - see bmw.jobs/benefits.
   
   

Earliest starting date: from 01/10/2025

Duration: 6 months

Working hours: Full-time

Do you have questions? Please submit your request via our contact form. Your request will be answered by phone or email.

At the BMW Group, we see diversity and inclusion in all its dimensions as a strength for our teams. Equal opportunities are a particular concern for us, and the equal treatment of applicants and employees is a fundamental principle of our corporate policy. Find out more about diversity at the BMW Group at bmwgroup.jobs/diversity.

Intern Artificial Intelligence, Machine Learning and Computer Vision (f/m/x)

20250624

Automotive

Munich

Germany (Country)

Legal Entity

BMW AG

Location:

Munich

Job Field

New technologies

Job ID

159760

Publication Date

24.06.2025

Internship

Full-time

Print Page

APPLY NOW","4256823081","Munich, Bavaria, Germany","1 week ago","2025-06-24","","Motor Vehicle Manufacturing","Intern Artificial Intelligence, Machine Learning and Computer Vision (f/m/x)"
"Mindrift","At Mindrift, innovation meets opportunity. We believe in using the power of collective intelligence to ethically shape the future of AI.

What We Do

The Mindrift platform connects specialists with AI projects from major tech innovators. Our mission is to unlock the potential of Generative AI by tapping into real-world expertise from across the globe.

About The Role

If you're a professional who works with AI Data Annotation and friendly user of LLMs, Mindrift offers a unique opportunity to apply your editing, annotating, fact-checking and creative skills to an AI training project.

This is a freelance role for a project, and your typical tasks may include:


 * Conduct high-quality web searches to verify facts, gather supporting data, and cross-check AI responses.
 * Perform fact-checking and intent verification to ensure AI responses align with the user's goals.
 * Carefully review and flag any inaccuracies, inconsistencies, or irrelevant answers.
 * Provide structured feedback on AI-generated content to help improve model performance.
 * Work effectively with large language models (LLMs), understanding their capabilities and limitations, and applying best practices when interacting with them
 * Prompt generation with a purpose to receive the best quality result of LLMs
   
   

How To Get Started

Simply apply to this post, qualify, and get the chance to contribute to projects aligned with your skills, on your own schedule. From creating training prompts to refining model responses, you'll help shape the future of AI while ensuring technology benefits everyone.

Requirements


 * You are currently enrolled in or completed a Bachelor's degree or higher
 * You have professional and/or educational experience in data annotation, demonstrate a deeper-than-user-level interest in AI, and possess intellectual breadth and curiosity
 * You are skilled in web searching, fact-checking, intent-checking, able to work with LLMs and have great attention to detail
 * Your level of English is upper-intermediate (B2) or above
 * You are ready to learn new methods, able to switch between tasks and topics quickly and sometimes work with challenging, complex guidelines
 * Our freelance role is fully remote so, you just need a laptop, internet connection, time available and enthusiasm to take on a challenge
   
   

Benefits

Why this freelance opportunity might be a great fit for you?


 * Take part in a part-time, remote, freelance project that fits around your primary professional or academic commitments
 * Work on advanced AI projects and gain valuable experience that enhances your portfolio
 * Influence how future AI models understand and communicate in your field of expertise","4251769134","Germany","2 weeks ago","2025-06-19","","IT Services and IT Consulting","Freelance AI Agent Assistant"
"SR2 | Socially Responsible Recruitment | Certified B Corporation™","SR2 are partnered with a Global Data Consultancy, who are looking for Machine Learning specialists.




In this role, you will leverage your expertise in data analysis and modelling to help their clients make informed, data-driven decisions. You will work on projects involving data collection, processing, and interpretation, turning complex data sets into actionable insights that drive business strategy. The ideal candidate will have strong analytical skills, proficiency in programming languages like Python or R, and experience with machine learning techniques.




Requirements:




 * Bachelor’s or Master’s in Computer Science, Mathematics, or related field.
 * Proficient in Python and ML frameworks like TensorFlow, PyTorch, or scikit-learn.
 * Familiar with cloud platforms such as AWS.
 * Experience with Databricks is essential
 * Strong problem-solving, critical thinking, and communication skills.




Role

 * 6-12+ month contract with high probability of extension
 * Hybrid with occasional travel to Munich
 * Candidates have to be based in Germany
 * 2x Stage interview process




If you're passionate about using data to solve real-world business challenges, we'd love to hear from you.","4077503600","Munich, Bavaria, Germany","3 months ago","2025-04-07","","IT Services and IT Consulting","Machine Learning Engineer"
"Mindrift","At Mindrift, innovation meets opportunity. We believe in using the power of collective intelligence to ethically shape the future of AI.

What We Do

The Mindrift platform connects specialists with AI projects from major tech innovators. Our mission is to unlock the potential of Generative AI by tapping into real-world expertise from across the globe.

About The Role

If you're a professional who works with AI Data Annotation and friendly user of LLMs, Mindrift offers a unique opportunity to apply your editing, annotating, fact-checking and creative skills to an AI training project.

This is a freelance role for a project, and your typical tasks may include:


 * Conduct high-quality web searches to verify facts, gather supporting data, and cross-check AI responses.
 * Perform fact-checking and intent verification to ensure AI responses align with the user's goals.
 * Carefully review and flag any inaccuracies, inconsistencies, or irrelevant answers.
 * Provide structured feedback on AI-generated content to help improve model performance.
 * Work effectively with large language models (LLMs), understanding their capabilities and limitations, and applying best practices when interacting with them
 * Prompt generation with a purpose to receive the best quality result of LLMs
   
   

How To Get Started

Simply apply to this post, qualify, and get the chance to contribute to projects aligned with your skills, on your own schedule. From creating training prompts to refining model responses, you'll help shape the future of AI while ensuring technology benefits everyone.

Requirements


 * You are currently enrolled in or completed a Bachelor's degree or higher
 * You have professional and/or educational experience in data annotation, demonstrate a deeper-than-user-level interest in AI, and possess intellectual breadth and curiosity
 * You are skilled in web searching, fact-checking, intent-checking, able to work with LLMs and have great attention to detail
 * Your level of English is upper-intermediate (B2) or above
 * You are ready to learn new methods, able to switch between tasks and topics quickly and sometimes work with challenging, complex guidelines
 * Our freelance role is fully remote so, you just need a laptop, internet connection, time available and enthusiasm to take on a challenge
   
   

Benefits

Why this freelance opportunity might be a great fit for you?


 * Take part in a part-time, remote, freelance project that fits around your primary professional or academic commitments
 * Work on advanced AI projects and gain valuable experience that enhances your portfolio
 * Influence how future AI models understand and communicate in your field of expertise","4251766282","Hamburg, Hamburg, Germany","2 weeks ago","2025-06-19","","IT Services and IT Consulting","Freelance AI Agent Assistant"
"ZAUBAR","Innovative company ZAUBAR is bringing the metaverse to the streets with location-based augmented reality tours. Collaborating with prestigious German institutions, we're making these immersive journeys a reality and soon, we'll enable anyone to create, distribute, and monetize immersive tours. Backed by a team with strong AI, 3D UI, and journalism expertise, we're turning time travel into an interactive experience.


We're looking for an experienced Machine Learning Engineer to join our expanding team. Your role will encompass designing and implementing Deep Learning Pipelines using cutting-edge models, maintaining our Azure infrastructure, and establishing automated deployment pipelines. Staying abreast with AI trends and refining pipeline prototypes alongside the team and clients until perfected will also be key.


In a fast-paced environment where your code is quickly deployed, you'll have a high degree of ownership over product code and work closely with the team and creative and product teams to prioritize issues and opportunities. At ZAUBAR, we provide everything needed to succeed in a dynamic, employee-centric structure where you are entrusted with making time travel possible. If you're a motivated individual with a passion for machine learning, we'd love to hear from you!


Tasks


We make use of the following stack:


   
   
 * Cloud platform: Azure
   
   
 * Deep learning framework: Pytorch
   
   
 * CI/CD tools: Pytest, Github Actions, Docker
   
   
 * Infrastructure as code tool: Terraform
   
   


Job Functions:


   
   
 * Develop and implement Deep Learning Pipelines using cutting-edge models
   
   
 * Sustain the infrastructure for Deep Learning inference on Azure
   
   
 * Build a CI/CD pipeline for automated deployment
   
   
 * Keep up-to-date with latest developments in the AI field
   
   
 * Prototype the pipelines and refine them with the team and clients until the final product
   
   


Additional tasks will include:


   
   
 * Managing the AI inference backend, facilitating secure frontend requests
   
   
 * Designing and implementing database schema and serverless architectures
   
   


Requirements

   
   
 * At least 3 years of experience with Deep Learning Pipelines
   
   
 * Knowledge and experience with Azure/AWS/GCP, preferably Azure
   
   
 * An approachable and friendly disposition
   
   
 * The ability to see through problems to their resolution
   
   


Benefits


We provide an attractive salary and benefits package, including flexible working hours, the option to work remotely, and avenues for career advancement. If you are a highly driven individual with a fervor for machine learning, we encourage you to reach out to us!


   
   
 * Please attach a portfolio of your work.","4254712357","Germany","2 weeks ago","2025-06-22","","IT Services and IT Consulting","AI Developer"
"Mindrift","At Mindrift, innovation meets opportunity. We believe in using the power of collective intelligence to ethically shape the future of AI.

What We Do

The Mindrift platform connects specialists with AI projects from major tech innovators. Our mission is to unlock the potential of Generative AI by tapping into real-world expertise from across the globe.

About The Role

If you're a professional who works with AI Data Annotation and friendly user of LLMs, Mindrift offers a unique opportunity to apply your editing, annotating, fact-checking and creative skills to an AI training project.

This is a freelance role for a project, and your typical tasks may include:


 * Conduct high-quality web searches to verify facts, gather supporting data, and cross-check AI responses.
 * Perform fact-checking and intent verification to ensure AI responses align with the user's goals.
 * Carefully review and flag any inaccuracies, inconsistencies, or irrelevant answers.
 * Provide structured feedback on AI-generated content to help improve model performance.
 * Work effectively with large language models (LLMs), understanding their capabilities and limitations, and applying best practices when interacting with them
 * Prompt generation with a purpose to receive the best quality result of LLMs
   
   

How To Get Started

Simply apply to this post, qualify, and get the chance to contribute to projects aligned with your skills, on your own schedule. From creating training prompts to refining model responses, you'll help shape the future of AI while ensuring technology benefits everyone.

Requirements


 * You are currently enrolled in or completed a Bachelor's degree or higher
 * You have professional and/or educational experience in data annotation, demonstrate a deeper-than-user-level interest in AI, and possess intellectual breadth and curiosity
 * You are skilled in web searching, fact-checking, intent-checking, able to work with LLMs and have great attention to detail
 * Your level of English is upper-intermediate (B2) or above
 * You are ready to learn new methods, able to switch between tasks and topics quickly and sometimes work with challenging, complex guidelines
 * Our freelance role is fully remote so, you just need a laptop, internet connection, time available and enthusiasm to take on a challenge
   
   

Benefits

Why this freelance opportunity might be a great fit for you?


 * Take part in a part-time, remote, freelance project that fits around your primary professional or academic commitments
 * Work on advanced AI projects and gain valuable experience that enhances your portfolio
 * Influence how future AI models understand and communicate in your field of expertise","4251769132","Frankfurt am Main, Hesse, Germany","2 weeks ago","2025-06-19","","IT Services and IT Consulting","Freelance AI Agent Assistant"
"The People Finding Company GmbH","Über uns

The People Finding Company ist eine moderne Personalberatung mit Fokus auf datengetriebenes Recruiting. Wir kombinieren Technologie, Automation und menschliches Urteilsvermögen – und suchen Dich, um unsere Systeme weiter zu professionalisieren.




Deine Aufgaben

 * Entwicklung skalierbarer Datenpipelines & Data Warehousing
 * Einführung von AI-Tools zur Automatisierung von Kandidatensuche & Leadgenerierung
 * Aufbau von Webscraping-Routinen zur Marktbeobachtung
 * Gestaltung der IT-Ziellandschaft für Machine Learning
 * Erstellung von Dashboards & Reports (Power BI, Tableau)




Ihr Profil

 * Studium in Data Science, Informatik o. Ä.
 * ≥ 3 Jahre Erfahrung in Data Analytics/Engineering
 * Sehr gute Kenntnisse in Python, SQL, Cloud & Webscraping
 * Analytisch, lösungsorientiert, hands-on




Deine Vorteile

 * Hybrides Arbeiten & neueste Technologien
 * Budget für Weiterbildung & Zertifikate
 * Flexible Arbeitszeiten
 * Starker Zusammenhalt und echtes Team




Jetzt bewerben!

Für weitere Informationen steht Dir Christoph Tegeler unter 069 - 8088 4935 oder per E-Mail an christoph.tegeler@tpfcompany.de gerne zur Verfügung.




Besuche uns auf www.tpfcompany.de und erfahren Sie mehr über uns!




(Aus Gründen der besseren Lesbarkeit wird in diesem Anzeigentext nur die männliche Form verwendet. Selbstverständlich sind alle Geschlechter gleichermaßen angesprochen.)","4258401733","Frankfurt, Hesse, Germany","1 week ago","2025-06-27","","Staffing and Recruiting","Artificial Intelligence Specialist"
"Mindrift","At Mindrift, innovation meets opportunity. We believe in using the power of collective intelligence to ethically shape the future of AI.

What We Do

The Mindrift platform connects specialists with AI projects from major tech innovators. Our mission is to unlock the potential of Generative AI by tapping into real-world expertise from across the globe.

About The Role

GenAI models are evolving rapidly, and one of our goals is to help them master subject-specific reasoning and support high-quality learning experiences. By joining our platform as an AI Tutor, you'll have the opportunity to contribute to projects that focus on improving how AI understands, explains, and teaches technical and scientific subjects.

Although every project is unique, you might typically:


 * Creating educational prompts that challenge AI's understanding in math, science, computer science, and related subjects
 * Defining clear and structured scoring criteria to evaluate the accuracy and quality of AI-generated educational content
 * Reviewing and correcting AI outputs based on your subject-matter expertise and teaching experience
   
   

How To Get Started

Apply to this post, qualify, and start contributing to meaningful projects tailored to your expertise - on your own schedule. Whether it's designing learning prompts or fine-tuning model explanations, your work will directly shape how AI supports better learning for everyone.

Requirements


 * You have a Master's degree or PhD in the STEM-related areas are preferred
 * You have at least 3 years of professional experience teaching academic subjects (e.g. Math, History, Literature, etc.) at schools, universities, through tutoring, bootcamps, or online platforms
 * Strong understanding of pedagogical strategies, different learning styles, and varying levels of student ability
 * Your level of English is advanced (C1) or above
 * You are ready to learn new methods, able to switch between tasks and topics quickly and sometimes work with challenging, complex guidelines
 * Our freelance role is fully remote so, you just need a laptop, internet connection, time available and enthusiasm to take on a challenge
   
   

Benefits

Why this freelance opportunity might be a great fit for you?


 * Take part in a part-time, remote, freelance project that fits around your primary professional or academic commitments
 * Work on advanced AI projects and gain valuable experience that enhances your portfolio
 * Influence how future AI models understand and communicate in your field of expertise","4258228540","Hamburg, Hamburg, Germany","1 week ago","2025-06-26","","IT Services and IT Consulting","Freelance STEM Education Specialist - AI Tutor"
